id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.82064E+15,M8EQqzsu6,7747647644,爆笑脱口秀名场面,脱口秀大会爆笑名场面大集合，综艺搞笑高光时刻笑岔气#鸟鸟##脱口秀大会##综艺##童漠男##爆笑课代表挑战赛##搞笑幽默微博##一年一度喜剧大赛##搞笑视频#L爆笑脱口秀名场面的微博视频,,,,"鸟鸟,脱口秀大会,综艺,童漠男,爆笑课代表挑战赛,搞笑幽默微博,一年一度喜剧大赛,搞笑视频",0,0,5,2022/10/3 23:58,微博视频号,,"http://f.video.weibocdn.com/u0/l3lHat8wgx07ZHIMeneE010412003U0S0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163866&ssig=tWZ4Ag%2FG3o&KID=unistore,video",
4.82064E+15,M8EPUpeTr,7747647644,爆笑脱口秀名场面,小鹿脱口秀大会爆笑名场面大集合，综艺搞笑高光时刻笑岔气#小鹿##鸟鸟##脱口秀大会##综艺##童漠男##爆笑课代表挑战赛##搞笑幽默微博##一年一度喜剧大赛##颜怡颜悦#L爆笑脱口秀名场面的微博视频,,,,"小鹿,鸟鸟,脱口秀大会,综艺,童漠男,爆笑课代表挑战赛,搞笑幽默微博,一年一度喜剧大赛,颜怡颜悦",0,1,3,2022/10/3 23:57,微博视频号,,"http://f.video.weibocdn.com/u0/36fgwwqYgx07ZHIGKYkw0104120050OM0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163866&ssig=SlXLbQmuaO&KID=unistore,video",
4.82064E+15,M8EPB9BfS,7747647644,爆笑脱口秀名场面,小鹿脱口秀大会爆笑名场面大集合，综艺搞笑高光时刻笑岔气#小鹿##鸟鸟##颜怡颜悦##脱口秀大会##综艺##爆笑课代表挑战赛#L爆笑脱口秀名场面的微博视频,,,,"小鹿,鸟鸟,颜怡颜悦,脱口秀大会,综艺,爆笑课代表挑战赛",0,0,13,2022/10/3 23:56,微博视频号,,"http://f.video.weibocdn.com/u0/8TPfxe4Rgx07ZHIDyX2g010412004g4P0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163866&ssig=CAci6icP8e&KID=unistore,video",
4.82064E+15,M8EOB6rmi,7747647644,爆笑脱口秀名场面,杨笠脱口秀大会爆笑名场面大集合，综艺搞笑高光时刻笑岔气#杨笠##鸟鸟##赵晓卉##脱口秀大会##综艺##童漠男##爆笑课代表挑战赛##搞笑幽默微博##一年一度喜剧大赛#L爆笑脱口秀名场面的微博视频,,,,"杨笠,鸟鸟,赵晓卉,脱口秀大会,综艺,童漠男,爆笑课代表挑战赛,搞笑幽默微博,一年一度喜剧大赛",0,0,0,2022/10/3 23:54,微博视频号,,"http://f.video.weibocdn.com/u0/CcjGdjpRgx07ZHItgAkU010412002P7D0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163866&ssig=OyzCDRvGxC&KID=unistore,video",
4.82063E+15,M8EN60AnL,1573919467,星冰乐kiki,#综艺#黄磊把孙莉养胖了六十斤，真没想到。胡歌说她是我们大师姐，天天管着我们。#黄磊##孙莉##胡歌#这是内娱为数不多的感情能这么多年没出事的L星冰乐kiki的微博视频,,,,"综艺,黄磊,孙莉,胡歌",0,0,0,2022/10/3 23:50,iPhone客户端,,"http://f.video.weibocdn.com/o0/k2hpvFh6lx07ZHIeXho401041200pYEB0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163866&ssig=hUQWl4t4KB&KID=unistore,video",
4.82063E+15,M8ELvm3Sl,5993403510,好搞笑鸭,#李维嘉##综艺#最具有笑点的主持人，造句鬼才李维嘉一言不合就金句爆出！L好搞笑鸭的微博视频,,,,"李维嘉,综艺",0,0,2,2022/10/3 23:46,微博视频号,,"http://f.video.weibocdn.com/o0/UDYRKg3Llx07ZHGtvWLe01041200ct0b0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163866&ssig=nUo6c0sK9I&KID=unistore,video",
4.82063E+15,M8EIG4a9J,1573919467,星冰乐kiki,#综艺#在娱乐圈可能是比较胖的，但在现实中，应该是刚刚好的吧。#蒋欣#蒋欣L星冰乐kiki的微博视频,,,,"综艺,蒋欣",0,1,2,2022/10/3 23:39,iPhone客户端,,"http://f.video.weibocdn.com/o0/bxoD80Eblx07ZHHtFSsw010412004Px20E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163866&ssig=SJzYvGv14j&KID=unistore,video",
4.82063E+15,M8EHEiUVr,1573919467,星冰乐kiki,#综艺#其实陈都灵的演技一直都在进步，我相信她！！！#陈都灵#陈都灵L星冰乐kiki的微博视频,,,,"综艺,陈都灵",0,2,30,2022/10/3 23:37,iPhone客户端,,"http://f.video.weibocdn.com/o0/gyE8djX7lx07ZHHiGRAI010412008Cli0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1665163866&ssig=Be%2BRfleK2I&KID=unistore,video",
4.82063E+15,M8EGOgkC6,5642757245,以安z_,娱乐博主#娱乐博主认证##娱乐#2022.10.3天气??我想参与#娱乐博主认证##娱乐#是我很感兴趣的领域#娱乐博主认证#成功的话我会很开心#娱乐#无极限#娱乐#快点亮#综艺#很好看@微博小秘书@微博小秘书@微博小秘书可以吗可以吗可以吗求你了求你了求你了#娱乐博主怎么认证#我很想知道@曹国伟！让我亮起来快点安排！@微博会员小秘书@微博小秘书好吧，我明天再来签到打卡，让我亮起来吧，每天都来哦！爱你呀宝贝@微博客服@微博客服中心小秘书#娱乐博主认证#,,,"微博小秘书,曹国伟,微博会员小秘书,微博客服,微博客服中心小秘书","娱乐博主认证,娱乐,综艺,娱乐博主怎么认证",0,0,0,2022/10/3 23:35,娱乐博主超话,,,
4.82027E+15,M8voogS98,5953181327,姜糖奶咖,娱乐博主?#垂直领域点亮计划#yl#娱乐博主认证#每日一试?神仙文案?人成功了发到娱乐超话里复制这个就行??#娱乐#真的?#娱乐博主认证#??????#娱乐#我就不信了#娱乐博主认证#我#娱乐#没有！#娱乐#快亮！！?#综艺#@微博小秘书可以吗可以吗可以吗求你了求你了#娱乐博主怎么认证#@曹国伟！让我亮起来快点安排！@微博会员小秘书@微博小秘书亮一亮,,,"微博小秘书,曹国伟,微博会员小秘书","垂直领域点亮计划,娱乐博主认证,娱乐,综艺,娱乐博主怎么认证",0,0,0,2022/10/2 23:55,娱乐博主超话,,,
